date,property_id,surface_m2,bedrooms,location_score,listing_price,is_booked
2022-01-01,PROP_001,47,2,8,275,1
2022-01-01,PROP_002,22,1,7.6,151,1
2022-01-01,PROP_003,115,4,7.9,690,0
2022-01-01,PROP_004,72,2,7.7,390,1
2022-01-01,PROP_005,26,1,9.2,172,0
2022-01-01,PROP_006,101,4,9.1,561,1
2022-01-01,PROP_007,117,4,6.6,640,0
2022-01-01,PROP_008,64,2,9.5,370,1
2022-01-01,PROP_009,43,1,9.9,290,1
2022-01-01,PROP_010,39,1,9.8,234,1
2022-01-01,PROP_011,102,4,7.8,599,0
2022-01-01,PROP_012,54,2,8.8,283,1
2022-01-01,PROP_013,116,4,6.2,662,1
2022-01-01,PROP_014,28,1,9.6,150,1
2022-01-01,PROP_015,91,3,8.3,551,1
2022-01-01,PROP_016,29,1,8,166,1
2022-01-01,PROP_017,75,2,8,386,1
2022-01-01,PROP_018,105,4,8.3,657,0
2022-01-01,PROP_019,80,3,9.8,477,0
2022-01-01,PROP_020,71,2,7.3,449,0
2022-01-01,PROP_021,55,2,9.1,275,1
2022-01-01,PROP_022,45,1,6.3,238,0
2022-01-01,PROP_023,104,4,8.3,563,0
2022-01-01,PROP_024,47,2,7.2,257,1
2022-01-01,PROP_025,32,1,6.6,201,0
2022-01-01,PROP_026,52,2,6.2,276,1
2022-01-01,PROP_027,100,3,7.9,514,1
2022-01-01,PROP_028,29,1,7.6,170,1
2022-01-01,PROP_029,113,4,7.2,630,1
2022-01-01,PROP_030,29,1,10,185,0
2022-01-01,PROP_031,117,4,9.5,630,1
2022-01-01,PROP_032,119,4,7,686,0
2022-01-01,PROP_033,26,1,6.5,179,1
2022-01-01,PROP_034,70,2,8.5,415,1
2022-01-01,PROP_035,65,2,6.6,341,1
2022-01-01,PROP_036,21,1,6.8,139,1
2022-01-01,PROP_037,68,2,7.6,373,1
2022-01-01,PROP_038,53,2,9.1,305,1
2022-01-01,PROP_039,103,4,6.1,646,1
2022-01-01,PROP_040,96,3,9.3,508,1
2022-01-01,PROP_041,113,4,6.7,673,0
2022-01-01,PROP_042,85,3,9.8,468,1
2022-01-01,PROP_043,95,3,9.4,491,1
2022-01-01,PROP_044,30,1,7.5,154,1
2022-01-01,PROP_045,33,1,6.4,186,0
2022-01-01,PROP_046,56,2,8.7,290,1
2022-01-01,PROP_047,45,1,8.3,261,1
2022-01-01,PROP_048,110,4,6.5,633,1
2022-01-01,PROP_049,20,1,8.8,126,1
2022-01-01,PROP_050,89,3,9.3,469,1
2022-01-02,PROP_001,47,2,8,218,1
2022-01-02,PROP_002,22,1,7.6,112,0
2022-01-02,PROP_003,115,4,7.9,591,1
2022-01-02,PROP_004,72,2,7.7,329,1
2022-01-02,PROP_005,26,1,9.2,152,0
2022-01-02,PROP_006,101,4,9.1,506,1
2022-01-02,PROP_007,117,4,6.6,518,1
2022-01-02,PROP_008,64,2,9.5,314,1
2022-01-02,PROP_009,43,1,9.9,245,0
2022-01-02,PROP_010,39,1,9.8,189,0
2022-01-02,PROP_011,102,4,7.8,416,1
2022-01-02,PROP_012,54,2,8.8,276,0
2022-01-02,PROP_013,116,4,6.2,599,1
2022-01-02,PROP_014,28,1,9.6,122,1
2022-01-02,PROP_015,91,3,8.3,407,1
2022-01-02,PROP_016,29,1,8,144,0
2022-01-02,PROP_017,75,2,8,340,1
2022-01-02,PROP_018,105,4,8.3,463,1
2022-01-02,PROP_019,80,3,9.8,394,1
2022-01-02,PROP_020,71,2,7.3,361,0
2022-01-02,PROP_021,55,2,9.1,274,1
2022-01-02,PROP_022,45,1,6.3,199,0
2022-01-02,PROP_023,104,4,8.3,429,0
2022-01-02,PROP_024,47,2,7.2,243,1
2022-01-02,PROP_025,32,1,6.6,183,0
2022-01-02,PROP_026,52,2,6.2,240,1
2022-01-02,PROP_027,100,3,7.9,439,1
2022-01-02,PROP_028,29,1,7.6,140,1
2022-01-02,PROP_029,113,4,7.2,504,1
2022-01-02,PROP_030,29,1,10,146,0
2022-01-02,PROP_031,117,4,9.5,525,0
2022-01-02,PROP_032,119,4,7,584,0
2022-01-02,PROP_033,26,1,6.5,147,1
2022-01-02,PROP_034,70,2,8.5,352,1
2022-01-02,PROP_035,65,2,6.6,320,0
2022-01-02,PROP_036,21,1,6.8,105,1
2022-01-02,PROP_037,68,2,7.6,313,1
2022-01-02,PROP_038,53,2,9.1,243,1
2022-01-02,PROP_039,103,4,6.1,454,1
2022-01-02,PROP_040,96,3,9.3,430,1
2022-01-02,PROP_041,113,4,6.7,539,1
2022-01-02,PROP_042,85,3,9.8,391,1
2022-01-02,PROP_043,95,3,9.4,466,0
2022-01-02,PROP_044,30,1,7.5,140,1
2022-01-02,PROP_045,33,1,6.4,186,1
2022-01-02,PROP_046,56,2,8.7,245,1
2022-01-02,PROP_047,45,1,8.3,204,1
2022-01-02,PROP_048,110,4,6.5,483,1
2022-01-02,PROP_049,20,1,8.8,105,1
2022-01-02,PROP_050,89,3,9.3,418,1
2022-01-03,PROP_001,47,2,8,226,0
2022-01-03,PROP_002,22,1,7.6,116,1
2022-01-03,PROP_003,115,4,7.9,536,1
2022-01-03,PROP_004,72,2,7.7,355,0
2022-01-03,PROP_005,26,1,9.2,129,1
2022-01-03,PROP_006,101,4,9.1,511,0
2022-01-03,PROP_007,117,4,6.6,569,0
2022-01-03,PROP_008,64,2,9.5,294,1
2022-01-03,PROP_009,43,1,9.9,234,1
2022-01-03,PROP_010,39,1,9.8,214,1
2022-01-03,PROP_011,102,4,7.8,448,1
2022-01-03,PROP_012,54,2,8.8,263,1
2022-01-03,PROP_013,116,4,6.2,500,1
2022-01-03,PROP_014,28,1,9.6,140,1
2022-01-03,PROP_015,91,3,8.3,380,1
2022-01-03,PROP_016,29,1,8,154,1
2022-01-03,PROP_017,75,2,8,357,1
2022-01-03,PROP_018,105,4,8.3,464,1
2022-01-03,PROP_019,80,3,9.8,367,0
2022-01-03,PROP_020,71,2,7.3,352,1
2022-01-03,PROP_021,55,2,9.1,264,1
2022-01-03,PROP_022,45,1,6.3,210,1
2022-01-03,PROP_023,104,4,8.3,493,1
2022-01-03,PROP_024,47,2,7.2,222,0
2022-01-03,PROP_025,32,1,6.6,177,1
2022-01-03,PROP_026,52,2,6.2,258,0
2022-01-03,PROP_027,100,3,7.9,452,1
2022-01-03,PROP_028,29,1,7.6,148,0
2022-01-03,PROP_029,113,4,7.2,516,1
2022-01-03,PROP_030,29,1,10,153,0
2022-01-03,PROP_031,117,4,9.5,576,0
2022-01-03,PROP_032,119,4,7,493,1
2022-01-03,PROP_033,26,1,6.5,136,1
2022-01-03,PROP_034,70,2,8.5,338,1
2022-01-03,PROP_035,65,2,6.6,296,1
2022-01-03,PROP_036,21,1,6.8,114,1
2022-01-03,PROP_037,68,2,7.6,308,1
2022-01-03,PROP_038,53,2,9.1,273,1
2022-01-03,PROP_039,103,4,6.1,455,0
2022-01-03,PROP_040,96,3,9.3,502,1
2022-01-03,PROP_041,113,4,6.7,525,1
2022-01-03,PROP_042,85,3,9.8,444,1
2022-01-03,PROP_043,95,3,9.4,471,0
2022-01-03,PROP_044,30,1,7.5,151,0
2022-01-03,PROP_045,33,1,6.4,154,1
2022-01-03,PROP_046,56,2,8.7,249,0
2022-01-03,PROP_047,45,1,8.3,222,1
2022-01-03,PROP_048,110,4,6.5,558,1
2022-01-03,PROP_049,20,1,8.8,96,1
2022-01-03,PROP_050,89,3,9.3,409,0
2022-01-04,PROP_001,47,2,8,245,1
2022-01-04,PROP_002,22,1,7.6,125,1
2022-01-04,PROP_003,115,4,7.9,514,1
2022-01-04,PROP_004,72,2,7.7,350,1
2022-01-04,PROP_005,26,1,9.2,130,1
2022-01-04,PROP_006,101,4,9.1,517,1
2022-01-04,PROP_007,117,4,6.6,536,1
2022-01-04,PROP_008,64,2,9.5,319,1
2022-01-04,PROP_009,43,1,9.9,223,1
2022-01-04,PROP_010,39,1,9.8,197,1
2022-01-04,PROP_011,102,4,7.8,450,1
